Simulation Number,Customers Served,Average Delivery,Maximum Delivery,Average Time in Elevator,Maximum Time in Elevator,Longest Queue,Average Queue Time,Longest Queue Time
1,1880,150,434,68,148,57,91,286
2,2019,143,401,68,148,53,76,258
3,1972,136,353,68,148,45,70,207
4,2051,132,356,68,142,51,63,225
5,2029,139,358,68,148,55,73,227
6,1994,135,341,68,148,43,66,220
7,2019,133,310,69,148,49,65,187
8,2120,141,344,69,151,47,70,202
9,2082,154,411,70,148,53,84,290
10,1889,130,346,68,145,41,66,195
,2005.5,139.3,365.4,68.4,147.4,49.4,72.4,229.7
